ALL;15.725784400903335;True
AFR;0.3001512465119754;False
ACB;0.012149663509333436;False
ASW;0.30257972864419697;False
ESN;0.0722499329292932;False
GWD;0.0841891651721594;False
LWK;0.5032876719782425;False
MSL;0.004411764705882353;False
YRI;0.8716954109709631;False
AMR;0.08028142782635188;False
CLM;0.07308975814697907;False
MXL;0.01836450406399998;False
PEL;0.0325235455452942;False
PUR;0.00810648363323085;False
EAS;0.06125613129828531;False
CDX;1.318793694495312;False
CHB;0.0037205318810679677;False
CHS;0.19863946356333312;False
JPT;0.023565391048615346;False
KHV;0.6362594753535359;False
EUR;0.1495474503121542;False
CEU;0.008280106900262575;False
FIN;0.08570778489460582;False
GBR;1.0400071115521978;False
IBS;0.014221040502336364;False
TSI;0.12046597140186906;False
SAS;0.014056217024470068;False
BEB;0.002588820174418561;False
GIH;0.1463645464705242;False
ITU;0.004583200461411799;False
PJL;0.007230720255999998;False
STU;0.017395643899843192;False
